aparc.a2009s_area,aparc.a2009s_thickness,aparc.a2009s_volume,aparc.DKTatlas_area,aparc.DKTatlas_thickness,aparc.DKTatlas_volume,aparc_area,aparc_thickness,aparc_volume,new_altas
Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus,Left-thamalus
Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate
Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen
Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum
Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus,Left-Hippocampus
Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala
Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Right-Caudate
Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus,Right-thamalus
Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Putamen
Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Pallidum
Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Hippocampus
Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Hippocampus,Right-Amygdala
Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,lh_bankssts_area
Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,lh_caudalanteriorcingulate_area
lh_G&S_frontomargin_area,lh_G&S_frontomargin_thickness,lh_G&S_frontomargin_volume,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_volume,lh_bankssts_area,lh_bankssts_thickness,lh_bankssts_volume,lh_caudalmiddlefrontal_area
lh_G&S_occipital_inf_area,lh_G&S_occipital_inf_thickness,lh_G&S_occipital_inf_volume,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_volume,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_volume,lh_cuneus_area
lh_G&S_paracentral_area,lh_G&S_paracentral_thickness,lh_G&S_paracentral_volume,lh_cuneus_area,lh_cuneus_thickness,lh_cuneus_volume,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_volume,lh_fusiform_area
lh_G&S_subcentral_area,lh_G&S_subcentral_thickness,lh_G&S_subcentral_volume,lh_entorhinal_area,lh_entorhinal_thickness,lh_entorhinal_volume,lh_cuneus_area,lh_cuneus_thickness,lh_cuneus_volume,lh_inferiorparietal_area
lh_G&S_transv_frontopol_area,lh_G&S_transv_frontopol_thickness,lh_G&S_transv_frontopol_volume,lh_fusiform_area,lh_fusiform_thickness,lh_fusiform_volume,lh_entorhinal_area,lh_entorhinal_thickness,lh_entorhinal_volume,lh_inferiortemporal_area
lh_G&S_cingul-Ant_area,lh_G&S_cingul-Ant_thickness,lh_G&S_cingul-Ant_volume,lh_inferiorparietal_area,lh_inferiorparietal_thickness,lh_inferiorparietal_volume,lh_fusiform_area,lh_fusiform_thickness,lh_fusiform_volume,lh_isthmuscingulate_area
lh_G&S_cingul-Mid-Ant_area,lh_G&S_cingul-Mid-Ant_thickness,lh_G&S_cingul-Mid-Ant_volume,lh_inferiortemporal_area,lh_inferiortemporal_thickness,lh_inferiortemporal_volume,lh_inferiorparietal_area,lh_inferiorparietal_thickness,lh_inferiorparietal_volume,lh_lateraloccipital_area
lh_G&S_cingul-Mid-Post_area,lh_G&S_cingul-Mid-Post_thickness,lh_G&S_cingul-Mid-Post_volume,lh_isthmuscingulate_area,lh_isthmuscingulate_thickness,lh_isthmuscingulate_volume,lh_inferiortemporal_area,lh_inferiortemporal_thickness,lh_inferiortemporal_volume,lh_lateralorbitofrontal_area
lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-dorsal_volume,lh_lateraloccipital_area,lh_lateraloccipital_thickness,lh_lateraloccipital_volume,lh_isthmuscingulate_area,lh_isthmuscingulate_thickness,lh_isthmuscingulate_volume,lh_lingual_area
lh_G_cingul-Post-ventral_area,lh_G_cingul-Post-ventral_thickness,lh_G_cingul-Post-ventral_volume,lh_lateralorbitofrontal_area,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_volume,lh_lateraloccipital_area,lh_lateraloccipital_thickness,lh_lateraloccipital_volume,lh_medialorbitofrontal_area
lh_G_cuneus_area,lh_G_cuneus_thickness,lh_G_cuneus_volume,lh_lingual_area,lh_lingual_thickness,lh_lingual_volume,lh_lateralorbitofrontal_area,lh_lateralorbitofrontal_thickness,lh_lateralorbitofrontal_volume,lh_middletemporal_area
lh_G_front_inf-Opercular_area,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Opercular_volume,lh_medialorbitofrontal_area,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_volume,lh_lingual_area,lh_lingual_thickness,lh_lingual_volume,lh_parahippocampal_area
lh_G_front_inf-Orbital_area,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Orbital_volume,lh_middletemporal_area,lh_middletemporal_thickness,lh_middletemporal_volume,lh_medialorbitofrontal_area,lh_medialorbitofrontal_thickness,lh_medialorbitofrontal_volume,lh_paracentral_area
lh_G_front_inf-Triangul_area,lh_G_front_inf-Triangul_thickness,lh_G_front_inf-Triangul_volume,lh_parahippocampal_area,lh_parahippocampal_thickness,lh_parahippocampal_volume,lh_middletemporal_area,lh_middletemporal_thickness,lh_middletemporal_volume,lh_parsopercularis_area
lh_G_front_middle_area,lh_G_front_middle_thickness,lh_G_front_middle_volume,lh_paracentral_area,lh_paracentral_thickness,lh_paracentral_volume,lh_parahippocampal_area,lh_parahippocampal_thickness,lh_parahippocampal_volume,lh_parsorbitalis_area
lh_G_front_sup_area,lh_G_front_sup_thickness,lh_G_front_sup_volume,lh_parsopercularis_area,lh_parsopercularis_thickness,lh_parsopercularis_volume,lh_paracentral_area,lh_paracentral_thickness,lh_paracentral_volume,lh_parstriangularis_area
lh_G_Ins_lg&S_cent_ins_area,lh_G_Ins_lg&S_cent_ins_thickness,lh_G_Ins_lg&S_cent_ins_volume,lh_parsorbitalis_area,lh_parsorbitalis_thickness,lh_parsorbitalis_volume,lh_parsopercularis_area,lh_parsopercularis_thickness,lh_parsopercularis_volume,lh_pericalcarine_area
lh_G_insular_short_area,lh_G_insular_short_thickness,lh_G_insular_short_volume,lh_parstriangularis_area,lh_parstriangularis_thickness,lh_parstriangularis_volume,lh_parsorbitalis_area,lh_parsorbitalis_thickness,lh_parsorbitalis_volume,lh_postcentral_area
lh_G_occipital_middle_area,lh_G_occipital_middle_thickness,lh_G_occipital_middle_volume,lh_pericalcarine_area,lh_pericalcarine_thickness,lh_pericalcarine_volume,lh_parstriangularis_area,lh_parstriangularis_thickness,lh_parstriangularis_volume,lh_posteriorcingulate_area
lh_G_occipital_sup_area,lh_G_occipital_sup_thickness,lh_G_occipital_sup_volume,lh_postcentral_area,lh_postcentral_thickness,lh_postcentral_volume,lh_pericalcarine_area,lh_pericalcarine_thickness,lh_pericalcarine_volume,lh_precentral_area
lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_lat-fusifor_volume,lh_posteriorcingulate_area,lh_posteriorcingulate_thickness,lh_posteriorcingulate_volume,lh_postcentral_area,lh_postcentral_thickness,lh_postcentral_volume,lh_precuneus_area
