,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_G&S_frontomargin_volume,lh_G&S_occipital_inf_volume,lh_G&S_paracentral_volume,lh_G&S_subcentral_volume,lh_G&S_transv_frontopol_volume,lh_G&S_cingul-Ant_volume,lh_G&S_cingul-Mid-Ant_volume,lh_G&S_cingul-Mid-Post_volume,lh_G_cingul-Post-dorsal_volume,lh_G_cingul-Post-ventral_volume,lh_G_cuneus_volume,lh_G_front_inf-Opercular_volume,lh_G_front_inf-Orbital_volume,lh_G_front_inf-Triangul_volume,lh_G_front_middle_volume,lh_G_front_sup_volume,lh_G_Ins_lg&S_cent_ins_volume,lh_G_insular_short_volume,lh_G_occipital_middle_volume,lh_G_occipital_sup_volume,lh_G_oc-temp_lat-fusifor_volume,lh_G_oc-temp_med-Lingual_volume,lh_G_oc-temp_med-Parahip_volume,lh_G_orbital_volume,lh_G_pariet_inf-Angular_volume,lh_G_pariet_inf-Supramar_volume,lh_G_parietal_sup_volume,lh_G_postcentral_volume,lh_G_precentral_volume,lh_G_precuneus_volume,lh_G_rectus_volume,lh_G_subcallosal_volume,lh_G_temp_sup-G_T_transv_volume,lh_G_temp_sup-Lateral_volume,lh_G_temp_sup-Plan_polar_volume,lh_G_temp_sup-Plan_tempo_volume,lh_G_temporal_inf_volume,lh_G_temporal_middle_volume,lh_Lat_Fis-ant-Horizont_volume,lh_Lat_Fis-ant-Vertical_volume,lh_Lat_Fis-post_volume,lh_Pole_occipital_volume,lh_Pole_temporal_volume,lh_S_calcarine_volume,lh_S_central_volume,lh_S_cingul-Marginalis_volume,lh_S_circular_insula_ant_volume,lh_S_circular_insula_inf_volume,lh_S_circular_insula_sup_volume,lh_S_collat_transv_ant_volume,lh_S_collat_transv_post_volume,lh_S_front_inf_volume,lh_S_front_middle_volume,lh_S_front_sup_volume,lh_S_interm_prim-Jensen_volume,lh_S_intrapariet&P_trans_volume,lh_S_oc_middle&Lunatus_volume,lh_S_oc_sup&transversal_volume,lh_S_occipital_ant_volume,lh_S_oc-temp_lat_volume,lh_S_oc-temp_med&Lingual_volume,lh_S_orbital_lateral_volume,lh_S_orbital_med-olfact_volume,lh_S_orbital-H_Shaped_volume,lh_S_parieto_occipital_volume,lh_S_pericallosal_volume,lh_S_postcentral_volume,lh_S_precentral-inf-part_volume,lh_S_precentral-sup-part_volume,lh_S_suborbital_volume,lh_S_subparietal_volume,lh_S_temporal_inf_volume,lh_S_temporal_sup_volume,lh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,lh_G_and_S_frontomargin_volume,lh_G_and_S_occipital_inf_volume,lh_G_and_S_paracentral_volume,lh_G_and_S_subcentral_volume,lh_G_and_S_transv_frontopol_volume,lh_G_and_S_cingul-Ant_volume,lh_G_and_S_cingul-Mid-Ant_volume,lh_G_and_S_cingul-Mid-Post_volume,lh_G_Ins_lg_and_S_cent_ins_volume,lh_S_intrapariet_and_P_trans_volume,lh_S_oc_middle_and_Lunatus_volume,lh_S_oc_sup_and_transversal_volume,lh_S_oc-temp_med_and_Lingual_volume,rh_G&S_frontomargin_volume,rh_G&S_occipital_inf_volume,rh_G&S_paracentral_volume,rh_G&S_subcentral_volume,rh_G&S_transv_frontopol_volume,rh_G&S_cingul-Ant_volume,rh_G&S_cingul-Mid-Ant_volume,rh_G&S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg&S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet&P_trans_volume,rh_S_oc_middle&Lunatus_volume,rh_S_oc_sup&transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med&Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume,BrainSegVolNotVent,eTIV,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_oc-temp_med_and_Lingual_volume
sub-B0001,3220.3,5584.5,1983.7,4415.7,2200.9,492.1,3202.1,5701.7,1853.8,4918.7,2376.7,668.2,1354674.0,1336828.0,276051.583198,276292.852371,552344.435568,289652.817727,291011.08839,580663.906117,63662.0,728028.435568,1216082.341685,1201975.341685,1652468.0,0.775619,0.946121,63.0,62.0,125.0,1746572.437141,2243.0,2781.0,2872.0,3659.0,2275.0,6741.0,3264.0,3103.0,2235.0,494.0,2631.0,3804.0,1387.0,4067.0,11977.0,20400.0,1996.0,2777.0,5788.0,2573.0,6147.0,5203.0,4788.0,6617.0,7973.0,6148.0,7010.0,4317.0,5151.0,6341.0,2459.0,2032.0,696.0,6106.0,3237.0,1466.0,11490.0,9090.0,440.0,520.0,1171.0,2797.0,6067.0,2158.0,3944.0,2099.0,903.0,2972.0,3358.0,2755.0,473.0,4923.0,3305.0,5465.0,454.0,4964.0,1380.0,2044.0,1749.0,1707.0,2492.0,652.0,984.0,3218.0,2610.0,2098.0,4483.0,2219.0,1807.0,1434.0,2165.0,3967.0,10729.0,521.0,1336828.0,1746572.437141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,2997.0,2012.0,4152.0,2950.0,7169.0,3863.0,2638.0,1677.0,627.0,3121.0,3548.0,1288.0,2582.0,11420.0,18128.0,1703.0,2863.0,5931.0,3209.0,5438.0,5478.0,4453.0,7983.0,8959.0,7008.0,4490.0,4715.0,6572.0,5528.0,2125.0,1773.0,693.0,5895.0,3203.0,1780.0,9197.0,10800.0,756.0,567.0,1822.0,5353.0,6684.0,2399.0,4076.0,2298.0,1072.0,2038.0,2605.0,2792.0,569.0,3930.0,2899.0,4968.0,941.0,4991.0,1124.0,2128.0,1145.0,2063.0,3150.0,946.0,1239.0,3239.0,2955.0,2926.0,3918.0,3618.0,2332.0,530.0,2751.0,2656.0,10416.0,402.0,1336828.0,1746572.437141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0002,3243.7,5490.5,2117.3,4282.3,1824.7,509.7,3453.3,5614.1,2301.7,4187.2,2047.9,489.4,1208768.0,1185891.0,239908.730553,242304.452703,482213.183255,253318.364702,250307.942727,503626.307429,60895.0,651158.183255,1068999.490684,1050357.490684,1506458.0,0.783823,0.976859,25.0,19.0,44.0,1542144.547132,2116.0,3583.0,3334.0,3331.0,1928.0,4749.0,2663.0,2374.0,1421.0,892.0,2497.0,3014.0,1198.0,2285.0,9429.0,18027.0,1704.0,2436.0,5750.0,1997.0,5069.0,3508.0,4310.0,5121.0,7471.0,5938.0,4611.0,4168.0,6411.0,5848.0,2241.0,1032.0,1169.0,4754.0,2346.0,1635.0,11187.0,5937.0,436.0,356.0,1430.0,3015.0,7135.0,2325.0,4115.0,1394.0,828.0,1924.0,2390.0,2453.0,483.0,3233.0,2152.0,4235.0,517.0,3140.0,1166.0,1680.0,1312.0,2059.0,3115.0,467.0,1056.0,2510.0,3167.0,941.0,3609.0,2559.0,1944.0,1296.0,1843.0,3473.0,8953.0,460.0,1185891.0,1542144.547132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,3179.0,2816.0,2784.0,2714.0,6240.0,2584.0,3085.0,1340.0,930.0,2535.0,3423.0,876.0,3295.0,9512.0,15882.0,2160.0,2353.0,5726.0,2081.0,5934.0,4105.0,3490.0,6567.0,7186.0,6375.0,4141.0,3435.0,5907.0,4447.0,1963.0,1000.0,686.0,5613.0,1912.0,2149.0,8182.0,9182.0,652.0,508.0,2141.0,5106.0,6539.0,2353.0,3433.0,2294.0,991.0,1791.0,2436.0,1740.0,455.0,3734.0,3229.0,3377.0,597.0,3902.0,1818.0,1663.0,1115.0,1878.0,3144.0,694.0,1067.0,2416.0,2846.0,1672.0,2842.0,2607.0,1372.0,316.0,1800.0,2713.0,10472.0,409.0,1185891.0,1542144.547132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0003,3282.3,5032.4,2093.7,4622.8,2296.9,501.3,3129.6,5263.5,1911.8,4678.2,1981.2,489.7,1348020.0,1328465.0,273727.962312,272588.520113,546316.482425,285460.737902,282393.69305,567854.430952,60917.0,726742.482425,1194888.913377,1179151.913377,1619126.0,0.802744,0.964187,32.0,36.0,68.0,1679265.9579,2042.0,2758.0,2822.0,3927.0,1536.0,4424.0,1925.0,2819.0,1923.0,869.0,4029.0,3235.0,1339.0,3367.0,13212.0,19451.0,1446.0,2818.0,4661.0,2278.0,6305.0,6438.0,4124.0,5792.0,6604.0,12075.0,7778.0,3342.0,7260.0,7347.0,2376.0,1759.0,1420.0,5453.0,2447.0,1994.0,8395.0,9560.0,335.0,379.0,1853.0,3361.0,6115.0,4029.0,4100.0,1934.0,736.0,2705.0,2975.0,2334.0,585.0,4485.0,2127.0,5583.0,939.0,5162.0,1367.0,1772.0,739.0,1621.0,3894.0,487.0,958.0,2684.0,3344.0,1221.0,3945.0,3625.0,1916.0,935.0,1988.0,3550.0,9107.0,626.0,1328465.0,1679265.9579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.0,2615.0,2613.0,3506.0,2490.0,5198.0,2852.0,3294.0,2111.0,937.0,3453.0,3402.0,1032.0,3284.0,10490.0,18649.0,1581.0,3066.0,7651.0,2714.0,5508.0,6097.0,3804.0,7718.0,5832.0,7122.0,4412.0,3930.0,6566.0,6761.0,1889.0,840.0,1157.0,4826.0,2626.0,1951.0,10110.0,10177.0,614.0,692.0,2370.0,5617.0,7422.0,4467.0,3946.0,2238.0,1141.0,2521.0,2575.0,2790.0,710.0,4028.0,3713.0,4283.0,270.0,4146.0,1515.0,2885.0,1308.0,1826.0,3890.0,571.0,1150.0,3036.0,3618.0,1867.0,3661.0,2749.0,2181.0,658.0,2184.0,2240.0,10382.0,380.0,1328465.0,1679265.9579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0004,3488.8,5022.7,2108.3,4272.4,1563.0,353.0,3584.1,5095.9,2210.6,4609.1,1663.1,446.3,1145383.0,1126702.0,234423.84912,238951.792785,473375.641906,227701.04448,225583.000843,453284.045323,58493.0,641470.641906,1003238.687229,988067.687229,1426693.0,0.776081,0.966689,19.0,13.0,32.0,1475855.813569,1754.0,2786.0,2981.0,3038.0,2107.0,4392.0,2570.0,2211.0,1559.0,488.0,2728.0,3266.0,1067.0,2379.0,8881.0,17738.0,1881.0,2095.0,4243.0,2750.0,4002.0,3951.0,3250.0,5724.0,7018.0,7285.0,5163.0,4874.0,5998.0,6561.0,1795.0,786.0,1187.0,5697.0,2161.0,1414.0,7669.0,8953.0,332.0,669.0,1462.0,2976.0,5126.0,2200.0,3866.0,1548.0,799.0,1975.0,2370.0,1867.0,471.0,2988.0,1801.0,3739.0,763.0,4103.0,1033.0,2067.0,787.0,1557.0,3205.0,539.0,867.0,2515.0,3425.0,1075.0,4160.0,2225.0,1575.0,1005.0,1762.0,2586.0,10483.0,429.0,1126702.0,1475855.813569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.0,2361.0,2194.0,3229.0,1889.0,5296.0,2328.0,2695.0,1691.0,640.0,3258.0,3643.0,1063.0,1959.0,7825.0,16197.0,1636.0,1968.0,5724.0,2629.0,4817.0,4427.0,4305.0,6708.0,8774.0,6024.0,5439.0,3545.0,7773.0,6047.0,1721.0,406.0,912.0,5083.0,2746.0,2041.0,6947.0,8303.0,441.0,315.0,2220.0,4741.0,6228.0,2572.0,3591.0,1645.0,880.0,1842.0,1866.0,1835.0,528.0,2259.0,2328.0,3658.0,1182.0,5200.0,1110.0,2133.0,1019.0,2009.0,3046.0,513.0,1070.0,2278.0,3594.0,1134.0,2686.0,2283.0,2262.0,361.0,2068.0,1975.0,10074.0,407.0,1126702.0,1475855.813569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0005,3190.7,5020.6,2013.2,4635.6,2093.7,429.8,3199.0,5337.9,1948.3,4491.7,2354.3,494.0,1160113.0,1150523.0,247494.13208,247003.141517,494497.273597,228653.899094,230183.001858,458836.900952,59608.0,659778.273597,1023242.174549,1016752.174549,1416933.0,0.820472,1.002104,19.0,26.0,45.0,1413957.89702,2145.0,3786.0,3210.0,3639.0,1799.0,4911.0,2324.0,2991.0,1480.0,809.0,3275.0,3611.0,1586.0,1676.0,7963.0,15269.0,1801.0,2372.0,5052.0,2959.0,4496.0,4614.0,5416.0,6336.0,5778.0,8622.0,6024.0,3146.0,5375.0,6632.0,2503.0,921.0,1187.0,6460.0,2084.0,2310.0,6809.0,7388.0,413.0,320.0,1607.0,3800.0,7000.0,2929.0,3525.0,2103.0,938.0,2775.0,2882.0,1585.0,648.0,4500.0,2730.0,4858.0,348.0,4669.0,1263.0,1795.0,950.0,1412.0,3495.0,820.0,933.0,2401.0,3513.0,1779.0,4261.0,2700.0,1359.0,989.0,1547.0,3057.0,9897.0,554.0,1150523.0,1413957.89702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.0,2891.0,2400.0,3417.0,2600.0,5018.0,3219.0,3205.0,1569.0,722.0,3361.0,4313.0,988.0,2256.0,8916.0,17190.0,1861.0,2271.0,4207.0,3108.0,5070.0,5169.0,4134.0,6160.0,6369.0,6573.0,4442.0,2927.0,5489.0,5763.0,1807.0,684.0,1051.0,5877.0,2932.0,2161.0,6046.0,10735.0,634.0,357.0,1993.0,5060.0,6919.0,2669.0,2965.0,2689.0,892.0,2132.0,1966.0,1468.0,683.0,3039.0,4040.0,3520.0,813.0,4569.0,1363.0,1539.0,1317.0,1450.0,3127.0,673.0,940.0,2514.0,4334.0,1589.0,3835.0,2734.0,2127.0,351.0,1844.0,2402.0,10239.0,439.0,1150523.0,1413957.89702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0006,2968.2,4732.9,2013.8,4641.7,1910.1,276.3,3055.0,4747.6,1991.9,4975.7,2078.3,464.5,1159243.0,1144591.0,238293.811927,240846.47676,479140.288687,229619.199055,228826.490746,458445.689801,58566.0,651412.288687,1010730.978488,999561.978488,1398632.0,0.802037,0.967661,17.0,16.0,33.0,1445373.786639,2295.0,3292.0,2672.0,2966.0,1686.0,4061.0,2085.0,2169.0,1318.0,734.0,2759.0,3598.0,1153.0,2723.0,9698.0,16935.0,1466.0,2386.0,4920.0,3006.0,3827.0,4543.0,3561.0,5527.0,6411.0,7413.0,7268.0,2358.0,5954.0,7048.0,2492.0,998.0,1188.0,5938.0,2191.0,2073.0,8417.0,7941.0,353.0,566.0,1532.0,2681.0,5617.0,3263.0,2849.0,1416.0,857.0,2282.0,2727.0,1953.0,671.0,2677.0,2464.0,3763.0,654.0,5057.0,1722.0,1720.0,1072.0,1541.0,3150.0,327.0,1102.0,2444.0,2997.0,948.0,3948.0,2248.0,1707.0,968.0,1801.0,3398.0,8579.0,624.0,1144591.0,1445373.786639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,2620.0,2675.0,3242.0,2901.0,6068.0,2621.0,2848.0,1361.0,602.0,2807.0,3801.0,920.0,2958.0,8045.0,15399.0,1743.0,2647.0,4859.0,2840.0,3397.0,4593.0,3526.0,6649.0,8410.0,5923.0,5731.0,3807.0,6036.0,6022.0,2257.0,997.0,951.0,5829.0,2480.0,2283.0,7887.0,9255.0,516.0,309.0,2048.0,5127.0,5628.0,2980.0,2811.0,1819.0,825.0,1748.0,2113.0,1748.0,695.0,3565.0,2923.0,3309.0,425.0,4952.0,1076.0,1861.0,789.0,1772.0,2955.0,589.0,1141.0,2295.0,2895.0,967.0,3459.0,2850.0,1579.0,552.0,2269.0,2350.0,10557.0,364.0,1144591.0,1445373.786639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0007,3819.7,5410.7,2200.0,4010.2,1546.5,424.7,4038.2,5696.0,2164.7,4391.3,1741.2,537.9,1109760.0,1091478.0,230673.878135,230546.824175,461220.70231,221101.368268,222166.145874,443267.514142,60065.0,619807.70231,982808.216452,968015.216452,1390304.0,0.791758,0.991912,17.0,16.0,33.0,1401640.017995,2642.0,3058.0,3147.0,2884.0,1322.0,4857.0,2083.0,2511.0,1471.0,615.0,3193.0,3012.0,694.0,2718.0,8928.0,15825.0,1604.0,2229.0,3787.0,2370.0,4197.0,4869.0,2987.0,5749.0,6331.0,5215.0,6029.0,3545.0,6665.0,6738.0,2643.0,1290.0,1021.0,5154.0,2366.0,1887.0,7416.0,7707.0,521.0,339.0,1650.0,2359.0,5357.0,2987.0,4052.0,1752.0,725.0,1917.0,2419.0,1738.0,475.0,4632.0,1556.0,3800.0,245.0,3846.0,1135.0,1386.0,1141.0,2022.0,3036.0,601.0,829.0,2530.0,2487.0,1424.0,3686.0,2909.0,2333.0,953.0,1565.0,2616.0,8852.0,698.0,1091478.0,1401640.017995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859.0,2265.0,2447.0,2618.0,2707.0,6429.0,2409.0,2807.0,1388.0,685.0,3196.0,2823.0,715.0,1581.0,9338.0,14687.0,1242.0,2134.0,4748.0,2858.0,4667.0,3949.0,3052.0,6922.0,6070.0,5979.0,5401.0,2805.0,7060.0,5645.0,2186.0,629.0,715.0,4944.0,2307.0,1556.0,8001.0,7602.0,648.0,342.0,1856.0,4847.0,6115.0,2749.0,4152.0,2046.0,1023.0,1865.0,1950.0,1724.0,727.0,2903.0,2548.0,4202.0,533.0,3487.0,1219.0,1819.0,755.0,1912.0,2676.0,604.0,977.0,2905.0,3638.0,1037.0,2765.0,2588.0,2189.0,470.0,1948.0,1955.0,10169.0,395.0,1091478.0,1401640.017995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0008,3398.2,4726.4,1941.0,4351.6,1884.7,421.2,3389.3,5433.8,2132.2,4425.0,2096.0,578.9,1244828.0,1232292.0,271472.776509,275856.109677,547328.886186,225850.354381,230003.412734,455853.767115,60994.0,742073.886186,1076429.653301,1067735.653301,1504628.0,0.909973,1.099888,55.0,50.0,105.0,1367982.887002,2525.0,3739.0,3126.0,4304.0,2078.0,4823.0,2869.0,3260.0,2307.0,754.0,2753.0,3958.0,1400.0,3134.0,10109.0,16560.0,1816.0,2879.0,7244.0,3133.0,6164.0,4680.0,3110.0,6435.0,9228.0,7419.0,5966.0,3417.0,5744.0,6321.0,2532.0,1776.0,1557.0,6850.0,2080.0,2464.0,9148.0,11277.0,524.0,546.0,1651.0,2611.0,5631.0,2433.0,3692.0,1525.0,1007.0,2579.0,2797.0,2022.0,797.0,3967.0,1581.0,4987.0,891.0,5367.0,1958.0,1866.0,1754.0,2149.0,3596.0,761.0,1156.0,2578.0,2986.0,1915.0,4152.0,2654.0,2478.0,1035.0,2208.0,3566.0,11549.0,857.0,1232292.0,1367982.887002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,2869.0,2130.0,4234.0,2492.0,6294.0,2631.0,2594.0,2145.0,864.0,2884.0,4074.0,1434.0,3630.0,10732.0,16153.0,1895.0,2442.0,8250.0,2755.0,5862.0,5490.0,3005.0,8146.0,7886.0,7186.0,5120.0,2942.0,5569.0,6104.0,2552.0,940.0,913.0,5629.0,2682.0,2042.0,9851.0,11282.0,535.0,374.0,2206.0,4981.0,7393.0,2893.0,2894.0,1757.0,996.0,2242.0,2398.0,2735.0,472.0,3718.0,3832.0,4760.0,806.0,6436.0,1672.0,2394.0,1333.0,2226.0,3937.0,899.0,1229.0,2967.0,2783.0,1389.0,3875.0,3102.0,2289.0,700.0,3078.0,3140.0,12818.0,679.0,1232292.0,1367982.887002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0009,3148.5,5023.2,2124.7,4250.2,1396.6,428.4,3142.2,5212.6,2159.7,4352.1,1687.1,427.8,1169668.0,1158713.0,235378.892926,232536.69825,467915.591177,249391.875648,250574.683458,499966.559106,60051.0,625418.591177,1038879.150283,1030699.150283,1402877.0,0.805682,0.966319,11.0,11.0,22.0,1451774.443941,2044.0,3051.0,3174.0,2773.0,1344.0,4563.0,3037.0,2755.0,1838.0,638.0,2444.0,3020.0,1283.0,2872.0,9936.0,18052.0,1457.0,2301.0,5195.0,2225.0,4126.0,4081.0,2892.0,5568.0,5648.0,6230.0,5912.0,4901.0,6961.0,6153.0,1884.0,830.0,1140.0,4864.0,2069.0,1083.0,6873.0,8686.0,527.0,502.0,1370.0,2596.0,4860.0,2367.0,4402.0,2081.0,982.0,2370.0,2367.0,1626.0,477.0,2795.0,1379.0,4468.0,418.0,3873.0,1338.0,1857.0,1455.0,879.0,3039.0,477.0,928.0,2790.0,2813.0,1287.0,3536.0,2840.0,1991.0,1479.0,1482.0,3116.0,10565.0,452.0,1158713.0,1451774.443941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.0,2771.0,2538.0,3048.0,1844.0,5381.0,2793.0,2917.0,1563.0,567.0,2847.0,2710.0,925.0,1984.0,7609.0,19833.0,1590.0,2082.0,4534.0,2524.0,3707.0,4025.0,3292.0,5758.0,7106.0,5294.0,4028.0,3984.0,7188.0,4961.0,1745.0,363.0,1075.0,5403.0,2041.0,1582.0,6649.0,8851.0,555.0,414.0,1895.0,4320.0,5651.0,2220.0,4340.0,1854.0,1062.0,1820.0,1996.0,1424.0,445.0,2349.0,3092.0,4718.0,566.0,3738.0,1114.0,1162.0,1519.0,1725.0,2686.0,467.0,961.0,2880.0,3693.0,1236.0,3626.0,2816.0,2740.0,483.0,1978.0,2187.0,10132.0,657.0,1158713.0,1451774.443941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-B0010,3281.9,4888.4,1991.2,4317.6,1553.5,382.5,3575.0,5028.9,2109.6,4339.6,1893.7,444.8,1215783.0,1183438.0,235297.310535,237137.519717,472434.830252,263232.260111,260498.26032,523730.520431,56781.0,631045.830252,1083102.350683,1056018.350683,1513539.0,0.757777,0.943363,15.0,31.0,46.0,1604407.777828,2049.0,2358.0,2852.0,3558.0,1923.0,5156.0,2218.0,2870.0,1589.0,677.0,2856.0,3077.0,1210.0,2504.0,10667.0,17239.0,1540.0,2147.0,4433.0,2787.0,4105.0,3911.0,3225.0,5689.0,5111.0,5586.0,5219.0,4935.0,6155.0,6220.0,2528.0,1421.0,983.0,4729.0,1911.0,1184.0,9424.0,7571.0,387.0,434.0,1347.0,2905.0,4828.0,2375.0,3811.0,1745.0,942.0,2311.0,2481.0,2160.0,595.0,3610.0,2060.0,3945.0,497.0,2885.0,1289.0,1679.0,1929.0,1668.0,2656.0,582.0,837.0,2605.0,2989.0,1010.0,4163.0,2744.0,1905.0,1049.0,1405.0,3723.0,10131.0,481.0,1183438.0,1604407.777828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,1821.0,3199.0,3164.0,2152.0,5217.0,2991.0,3081.0,1359.0,831.0,2857.0,3331.0,1002.0,2920.0,9361.0,16104.0,1527.0,2056.0,4193.0,2697.0,4496.0,4446.0,3163.0,6602.0,6256.0,6590.0,4682.0,4202.0,6266.0,5012.0,1955.0,853.0,938.0,5187.0,2306.0,1780.0,7634.0,9139.0,520.0,400.0,2017.0,4487.0,6008.0,2449.0,3872.0,2143.0,919.0,2222.0,2293.0,2112.0,352.0,2950.0,2782.0,3863.0,625.0,5331.0,1138.0,1796.0,1337.0,1526.0,2589.0,800.0,1141.0,2498.0,2818.0,1217.0,3036.0,2789.0,2220.0,491.0,2026.0,2399.0,9560.0,581.0,1183438.0,1604407.777828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
