,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,lh_bankssts_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_frontalpole_volume,lh_temporalpole_volume,lh_transversetemporal_volume,lh_insula_volume,BrainSegVolNotVent,eTIV,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
sub-B0001,3220.3,5584.5,1983.7,4415.7,2200.9,492.1,3202.1,5701.7,1853.8,4918.7,2376.7,668.2,1354674.0,1336828.0,276051.583198,276292.852371,552344.435568,289652.817727,291011.08839,580663.906117,63662.0,728028.435568,1216082.341685,1201975.341685,1652468.0,0.775619,0.946121,63.0,62.0,125.0,1746572.437141,2211.0,3439.0,5883.0,2612.0,2259.0,12193.0,16197.0,17454.0,2639.0,12794.0,8651.0,6264.0,7312.0,13361.0,2406.0,3841.0,5607.0,2924.0,5377.0,1617.0,10931.0,4439.0,12239.0,10336.0,3505.0,20300.0,26944.0,15181.0,13743.0,11501.0,1264.0,2982.0,896.0,9035.0,1336828.0,1746572.437141,2443.0,3607.0,6651.0,3201.0,2075.0,11951.0,16831.0,14062.0,2484.0,12417.0,9006.0,8114.0,6528.0,15381.0,2086.0,3530.0,4949.0,3310.0,5320.0,1891.0,11752.0,3601.0,14783.0,11050.0,3852.0,18279.0,24396.0,13309.0,13089.0,13001.0,1507.0,3551.0,759.0,9396.0,1336828.0,1746572.437141
sub-B0002,3243.7,5490.5,2117.3,4282.3,1824.7,509.7,3453.3,5614.1,2301.7,4187.2,2047.9,489.4,1208768.0,1185891.0,239908.730553,242304.452703,482213.183255,253318.364702,250307.942727,503626.307429,60895.0,651158.183255,1068999.490684,1050357.490684,1506458.0,0.783823,0.976859,25.0,19.0,44.0,1542144.547132,2408.0,869.0,5730.0,2623.0,3055.0,11504.0,13829.0,16495.0,2717.0,12956.0,7392.0,4846.0,4556.0,9678.0,2162.0,3853.0,4071.0,2051.0,3191.0,1668.0,9658.0,2852.0,14692.0,10168.0,3023.0,14665.0,24672.0,10674.0,10336.0,11908.0,959.0,3110.0,1126.0,7113.0,1185891.0,1542144.547132,2431.0,2248.0,4793.0,2974.0,2312.0,11178.0,16476.0,12226.0,2634.0,13489.0,7164.0,5899.0,6041.0,12733.0,1919.0,4779.0,4649.0,2782.0,5212.0,1962.0,8717.0,3228.0,12307.0,8781.0,1891.0,17459.0,20842.0,10234.0,12582.0,10797.0,1251.0,2954.0,810.0,8054.0,1185891.0,1542144.547132
sub-B0003,3282.3,5032.4,2093.7,4622.8,2296.9,501.3,3129.6,5263.5,1911.8,4678.2,1981.2,489.7,1348020.0,1328465.0,273727.962312,272588.520113,546316.482425,285460.737902,282393.69305,567854.430952,60917.0,726742.482425,1194888.913377,1179151.913377,1619126.0,0.802744,0.964187,32.0,36.0,68.0,1679265.9579,2456.0,1374.0,7640.0,3829.0,2451.0,12267.0,11919.0,14388.0,3046.0,12221.0,7941.0,8484.0,4701.0,13479.0,2364.0,4081.0,5024.0,1958.0,4423.0,3208.0,9088.0,3767.0,15772.0,11787.0,3153.0,18976.0,23992.0,16084.0,12051.0,18932.0,779.0,2571.0,1510.0,9092.0,1328465.0,1679265.9579,2377.0,2220.0,7873.0,3640.0,2467.0,11088.0,15695.0,15513.0,2949.0,15063.0,8615.0,9118.0,5604.0,14558.0,1999.0,4589.0,4812.0,2985.0,5566.0,3062.0,10372.0,4531.0,13702.0,12515.0,2165.0,17130.0,23172.0,12479.0,12227.0,11705.0,1142.0,3092.0,1134.0,8947.0,1328465.0,1679265.9579
sub-B0004,3488.8,5022.7,2108.3,4272.4,1563.0,353.0,3584.1,5095.9,2210.6,4609.1,1663.1,446.3,1145383.0,1126702.0,234423.84912,238951.792785,473375.641906,227701.04448,225583.000843,453284.045323,58493.0,641470.641906,1003238.687229,988067.687229,1426693.0,0.776081,0.966689,19.0,13.0,32.0,1475855.813569,3006.0,1796.0,4489.0,2880.0,1905.0,9174.0,14560.0,11699.0,2602.0,10506.0,7645.0,5436.0,3814.0,12732.0,2145.0,3604.0,4736.0,2086.0,3154.0,1500.0,10877.0,2834.0,12917.0,10803.0,2521.0,14110.0,22997.0,12751.0,11789.0,11779.0,788.0,2565.0,1235.0,7282.0,1126702.0,1475855.813569,2222.0,2013.0,4587.0,3409.0,1709.0,10544.0,17286.0,10975.0,2558.0,11552.0,7460.0,6705.0,4830.0,11927.0,2375.0,3734.0,4075.0,2910.0,3792.0,2092.0,8671.0,3261.0,14931.0,11040.0,1689.0,12429.0,20818.0,13500.0,11966.0,11943.0,1166.0,2941.0,899.0,7217.0,1126702.0,1475855.813569
sub-B0005,3190.7,5020.6,2013.2,4635.6,2093.7,429.8,3199.0,5337.9,1948.3,4491.7,2354.3,494.0,1160113.0,1150523.0,247494.13208,247003.141517,494497.273597,228653.899094,230183.001858,458836.900952,59608.0,659778.273597,1023242.174549,1016752.174549,1416933.0,0.820472,1.002104,19.0,26.0,45.0,1413957.89702,3227.0,2084.0,4460.0,3366.0,3013.0,10239.0,12150.0,11732.0,2845.0,13553.0,7652.0,6390.0,5472.0,11359.0,2825.0,4094.0,4973.0,2899.0,3040.0,2170.0,8477.0,3897.0,13019.0,10939.0,3000.0,16834.0,20045.0,14098.0,14344.0,14093.0,1116.0,2818.0,1229.0,7637.0,1150523.0,1413957.89702,2591.0,2552.0,4714.0,3577.0,2721.0,9652.0,13261.0,9884.0,2493.0,12722.0,6664.0,7570.0,4802.0,14373.0,2231.0,4799.0,4766.0,2529.0,4618.0,2090.0,8764.0,3857.0,12556.0,11293.0,2403.0,16899.0,21581.0,12919.0,14211.0,11802.0,1048.0,3232.0,982.0,7641.0,1150523.0,1413957.89702
sub-B0006,2968.2,4732.9,2013.8,4641.7,1910.1,276.3,3055.0,4747.6,1991.9,4975.7,2078.3,464.5,1159243.0,1144591.0,238293.811927,240846.47676,479140.288687,229619.199055,228826.490746,458445.689801,58566.0,651412.288687,1010730.978488,999561.978488,1398632.0,0.802037,0.967661,17.0,16.0,33.0,1445373.786639,2202.0,1524.0,5385.0,2791.0,2255.0,8478.0,12395.0,13689.0,2674.0,12492.0,7576.0,6291.0,5691.0,11786.0,2374.0,3334.0,4851.0,1962.0,3682.0,2094.0,7040.0,2516.0,12780.0,11111.0,2511.0,14282.0,21142.0,16043.0,13068.0,12718.0,918.0,2623.0,1212.0,7232.0,1144591.0,1445373.786639,2464.0,1798.0,4653.0,2839.0,1887.0,7473.0,15547.0,11556.0,2129.0,12079.0,7367.0,7140.0,5838.0,13457.0,2342.0,4091.0,4331.0,2637.0,4890.0,1847.0,9619.0,3319.0,12744.0,10734.0,2050.0,15633.0,19938.0,15165.0,13054.0,11061.0,1045.0,2754.0,899.0,7815.0,1144591.0,1445373.786639
sub-B0007,3819.7,5410.7,2200.0,4010.2,1546.5,424.7,4038.2,5696.0,2164.7,4391.3,1741.2,537.9,1109760.0,1091478.0,230673.878135,230546.824175,461220.70231,221101.368268,222166.145874,443267.514142,60065.0,619807.70231,982808.216452,968015.216452,1390304.0,0.791758,0.991912,17.0,16.0,33.0,1401640.017995,1943.0,1427.0,6226.0,3243.0,1966.0,9205.0,10912.0,11649.0,2542.0,10138.0,7314.0,6569.0,4956.0,11975.0,1866.0,3520.0,5065.0,2088.0,3701.0,2444.0,8741.0,3464.0,14472.0,10130.0,3566.0,14138.0,20062.0,12913.0,11809.0,10756.0,889.0,2499.0,1365.0,7727.0,1091478.0,1401640.017995,2411.0,1824.0,5997.0,3289.0,2221.0,9418.0,13263.0,12005.0,2096.0,11422.0,7879.0,5993.0,6094.0,11073.0,1254.0,3279.0,3139.0,2608.0,3836.0,2689.0,8054.0,3585.0,14447.0,10876.0,1708.0,15232.0,20901.0,12824.0,11655.0,9649.0,1166.0,2673.0,759.0,6806.0,1091478.0,1401640.017995
sub-B0008,3398.2,4726.4,1941.0,4351.6,1884.7,421.2,3389.3,5433.8,2132.2,4425.0,2096.0,578.9,1244828.0,1232292.0,271472.776509,275856.109677,547328.886186,225850.354381,230003.412734,455853.767115,60994.0,742073.886186,1076429.653301,1067735.653301,1504628.0,0.909973,1.099888,55.0,50.0,105.0,1367982.887002,2646.0,1982.0,6873.0,3049.0,1804.0,11876.0,17555.0,14763.0,3494.0,15553.0,8320.0,6320.0,5117.0,16105.0,2052.0,3800.0,5690.0,3069.0,4202.0,1804.0,9904.0,4257.0,13994.0,10288.0,3358.0,14879.0,22842.0,13611.0,15072.0,14362.0,1128.0,1919.0,1777.0,9245.0,1232292.0,1367982.887002,2501.0,2286.0,6295.0,3142.0,1908.0,11593.0,19601.0,15604.0,3419.0,14434.0,8449.0,8249.0,7341.0,16400.0,2247.0,3643.0,5121.0,4180.0,5491.0,2274.0,8822.0,3293.0,12894.0,11283.0,2297.0,19617.0,20172.0,14550.0,13615.0,13451.0,1281.0,2229.0,1083.0,8829.0,1232292.0,1367982.887002
sub-B0009,3148.5,5023.2,2124.7,4250.2,1396.6,428.4,3142.2,5212.6,2159.7,4352.1,1687.1,427.8,1169668.0,1158713.0,235378.892926,232536.69825,467915.591177,249391.875648,250574.683458,499966.559106,60051.0,625418.591177,1038879.150283,1030699.150283,1402877.0,0.805682,0.966319,11.0,11.0,22.0,1451774.443941,2105.0,2315.0,6490.0,2576.0,1441.0,8491.0,14694.0,10555.0,2668.0,11480.0,7663.0,5534.0,4717.0,13191.0,1865.0,4002.0,4170.0,2404.0,4099.0,1781.0,10467.0,3912.0,14816.0,10213.0,3014.0,12810.0,23209.0,12738.0,11056.0,9668.0,802.0,2224.0,1292.0,7194.0,1158713.0,1451774.443941,2163.0,1713.0,5924.0,3093.0,1480.0,7909.0,14673.0,10324.0,2210.0,11686.0,7325.0,5955.0,5143.0,13239.0,1842.0,4529.0,3467.0,2575.0,3626.0,1957.0,9934.0,3390.0,15792.0,10005.0,1830.0,12543.0,24848.0,11004.0,12150.0,9203.0,787.0,2103.0,1161.0,7348.0,1158713.0,1451774.443941
sub-B0010,3281.9,4888.4,1991.2,4317.6,1553.5,382.5,3575.0,5028.9,2109.6,4339.6,1893.7,444.8,1215783.0,1183438.0,235297.310535,237137.519717,472434.830252,263232.260111,260498.26032,523730.520431,56781.0,631045.830252,1083102.350683,1056018.350683,1513539.0,0.757777,0.943363,15.0,31.0,46.0,1604407.777828,1600.0,1263.0,6315.0,2916.0,2040.0,9268.0,12637.0,14517.0,2559.0,11735.0,7467.0,5211.0,5364.0,11931.0,1750.0,3891.0,4506.0,2492.0,3503.0,1851.0,10959.0,2438.0,13827.0,10126.0,3221.0,15498.0,23371.0,12172.0,10469.0,9888.0,909.0,2094.0,1095.0,6846.0,1183438.0,1604407.777828,2514.0,2122.0,6098.0,3008.0,1947.0,8727.0,14622.0,12322.0,2299.0,10389.0,7407.0,6344.0,5553.0,12782.0,1773.0,4747.0,4486.0,2911.0,4812.0,2223.0,9993.0,3845.0,14134.0,9419.0,1716.0,14541.0,20574.0,12848.0,11632.0,10381.0,998.0,2243.0,943.0,7972.0,1183438.0,1604407.777828
